2026-05-10 16:07:07.996404,Neutral,53.79%
2026-05-10 16:07:08.222223,Neutral,42.26%
2026-05-10 16:07:08.459193,Neutral,44.02%
2026-05-10 16:07:08.703600,Neutral,38.98%
2026-05-10 16:07:08.945811,Neutral,43.66%
2026-05-10 16:07:09.206582,Neutral,35.59%
2026-05-10 16:07:09.439381,Neutral,36.29%
2026-05-10 16:07:09.687411,Neutral,39.66%
2026-05-10 16:07:09.940497,Neutral,36.11%
2026-05-10 16:07:10.190377,Neutral,38.47%
2026-05-10 16:07:10.441830,Neutral,41.57%
2026-05-10 16:07:10.707645,Neutral,44.89%
2026-05-10 16:07:10.936626,Neutral,42.37%
2026-05-10 16:07:11.169248,Neutral,39.71%
2026-05-10 16:07:11.410324,Neutral,39.60%
2026-05-10 16:07:11.689085,Neutral,44.27%
2026-05-10 16:07:11.978975,Neutral,37.39%
2026-05-10 16:07:12.195182,Neutral,38.88%
2026-05-10 16:07:12.462796,Neutral,39.20%
2026-05-10 16:07:12.715541,Neutral,35.71%
2026-05-10 16:07:12.976310,Neutral,40.32%
2026-05-10 16:07:13.229734,Neutral,42.88%
2026-05-10 16:07:13.498928,Neutral,38.61%
2026-05-10 16:07:13.741723,Neutral,41.10%
2026-05-10 16:07:13.992876,Neutral,39.35%
2026-05-10 16:07:14.248760,Neutral,42.47%
2026-05-10 16:07:14.500769,Neutral,46.65%
2026-05-10 16:07:14.746158,Neutral,46.03%
2026-05-10 16:07:14.967552,Neutral,45.46%
2026-05-10 16:07:15.220787,Neutral,51.19%
2026-05-10 16:07:15.468023,Neutral,44.62%
2026-05-10 16:07:15.718236,Neutral,42.58%
2026-05-10 16:07:15.991570,Neutral,53.98%
2026-05-10 16:07:16.247373,Neutral,50.78%
2026-05-10 16:07:16.524490,Neutral,55.54%
2026-05-10 16:07:16.817196,Neutral,46.17%
2026-05-10 16:07:17.083705,Neutral,49.99%
2026-05-10 16:07:17.332145,Neutral,48.26%
2026-05-10 16:07:17.604707,Neutral,49.42%
2026-05-10 16:07:17.862453,Neutral,46.76%
2026-05-10 16:07:18.145380,Neutral,49.23%
